活動日期,公告日,活動／期別,NPC,所需寵物,所需道具,獲得寵物,合成樹,入手方法,公告連結
2023-03-03～2023-04-04,2023-03-03,霸天巨獸 牛鬼領主,NPC：牛族先知（魔法大學研究所 18.30）,任意等級的寒冰牛鬼領主,轉生之魂*1,Lv1寒冰牛魔王,任意等級的寒冰牛鬼領主 ＋ 轉生之魂×1 ＝ Lv1寒冰牛魔王,所需寵物：前置合成：任意等級的寒冰牛魔王 ＋ 領主之魂×1 ＝ / ├ Lv1寒冰牛魔王（概率90%） / └ Lv1寒冰牛鬼領主（概率10%）；所需道具：當期寶盒／活動抽取：轉生之魂（4%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9144.html)
2023-03-03～2023-04-04,2023-03-03,霸天巨獸 牛鬼領主,NPC：牛族先知（魔法大學研究所 18.30）,任意等級的大地牛鬼領主,轉生之魂*1,Lv1強襲牛鬼,任意等級的大地牛鬼領主 ＋ 轉生之魂×1 ＝ Lv1強襲牛鬼,所需寵物：前置合成：任意等級的強襲牛鬼 ＋ 領主之魂×1 ＝ / ├ Lv1強襲牛鬼（概率90%） / └ Lv1大地牛鬼領主（概率10%）；所需道具：當期寶盒／活動抽取：轉生之魂（4%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9144.html)
2023-03-02～2023-03-16,2023-03-02,公主的往事 聖晶之約,NPC：奇奇卡(精靈城寵物店15，6）,Lv1冰原獨角獸,變異之源*3 千年冰魄*10 精靈王契約*50 100000G金幣,Lv1聖晶獨角獸,"Lv1冰原獨角獸 ＋ 變異之源×3 ＋ 千年冰魄×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1聖晶獨角獸",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9134.html)
2023-03-02～2023-03-16,2023-03-02,公主的往事 聖晶之約,NPC：叮叮噹(精靈城寵物店12，10）,任意等級的暴雪魔獸（屬性：水10）,變異之源*1,Lv1暴雪魔獸（屬性：水5火5）,任意等級的暴雪魔獸（屬性：水10） ＋ 變異之源×1 ＝ Lv1暴雪魔獸（屬性：水5火5）,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9134.html)
未載明（公告日 2023-02-15）,2023-02-15,探索冰原禁地 直面死亡的氣息,NPC：奇奇卡(精靈城寵物店15，6）,Lv1黃金龍骨,變異之源*3 禁地冰龍魂*10 精靈王契約*50 100000G金幣,Lv1冰霜巨龍,"Lv1黃金龍骨 ＋ 變異之源×3 ＋ 禁地冰龍魂×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1冰霜巨龍",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9084.html)
未載明（公告日 2023-02-15）,2023-02-15,探索冰原禁地 直面死亡的氣息,NPC：奇奇卡(精靈城寵物店15，6）,Lv1毒龍骨,變異之源*3 禁地火龍魂*10 精靈王契約*50 100000G金幣,Lv1炎心真龍,"Lv1毒龍骨 ＋ 變異之源×3 ＋ 禁地火龍魂×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1炎心真龍",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9084.html)
未載明（公告日 2023-02-02）,2023-02-02,兄弟羈絆 一念仙魔,NPC：青仙人（軍方研究所 6.3）,任意等級的鬥神歐茲尼克,洗髓丹*1,Lv1煞氣歐茲尼克,任意等級的鬥神歐茲尼克 ＋ 洗髓丹×1 ＝ Lv1煞氣歐茲尼克,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9024.html)
未載明（公告日 2023-02-02）,2023-02-02,兄弟羈絆 一念仙魔,NPC：青仙人（軍方研究所 6.3）,任意等級的修羅歐茲尼克,洗髓丹*1,Lv1煞氣歐茲尼克,任意等級的修羅歐茲尼克 ＋ 洗髓丹×1 ＝ Lv1煞氣歐茲尼克,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9024.html)
未載明（公告日 2023-02-02）,2023-02-02,兄弟羈絆 一念仙魔,NPC：青仙人（軍方研究所 6.3）,任意等級的酒仙歐茲那克,洗髓丹*1,Lv1熊霸歐茲那克,任意等級的酒仙歐茲那克 ＋ 洗髓丹×1 ＝ Lv1熊霸歐茲那克,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9024.html)
未載明（公告日 2023-02-02）,2023-02-02,兄弟羈絆 一念仙魔,NPC：青仙人（軍方研究所 6.3）,任意等級的羅剎歐茲那克,洗髓丹*1,Lv1熊霸歐茲那克,任意等級的羅剎歐茲那克 ＋ 洗髓丹×1 ＝ Lv1熊霸歐茲那克,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9024.html)
未載明（公告日 2023-02-02）,2023-02-02,兄弟羈絆 一念仙魔,NPC：青仙人（軍方研究所 6.3）,任意等級的熊霸歐茲那克,修仙石*1,Lv1熊霸歐茲那克（概率90%） Lv1羅剎歐茲那克（概率8%） Lv1酒仙歐茲那克（概率2%）,任意等級的熊霸歐茲那克 ＋ 修仙石×1 ＝ / ├ Lv1熊霸歐茲那克（概率90%） / ├ Lv1羅剎歐茲那克（概率8%） / └ Lv1酒仙歐茲那克（概率2%）,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9024.html)
未載明（公告日 2023-02-02）,2023-02-02,兄弟羈絆 一念仙魔,NPC：青仙人（軍方研究所 6.3）,任意等級的煞氣歐茲尼克,修仙石*1,Lv1煞氣歐茲尼克（概率90%） Lv1鬥神歐茲尼克（概率8%） Lv1修羅歐茲尼克（概率2%）,任意等級的煞氣歐茲尼克 ＋ 修仙石×1 ＝ / ├ Lv1煞氣歐茲尼克（概率90%） / ├ Lv1鬥神歐茲尼克（概率8%） / └ Lv1修羅歐茲尼克（概率2%）,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9024.html)
未載明（公告日 2023-01-18）,2023-01-18,新春招財齊拜年,招財貓金（里謝里雅堡46.74）,Lv40百兩招財貓,388,千兩招財貓,Lv40百兩招財貓 ＋ 388 ＝ 千兩招財貓,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html)
未載明（公告日 2023-01-18）,2023-01-18,新春招財齊拜年,招財貓金（里謝里雅堡46.74）,Lv1萬兩招財貓,1688,十萬兩招財貓,Lv1萬兩招財貓 ＋ 1688 ＝ 十萬兩招財貓,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html)
未載明（公告日 2023-01-18）,2023-01-18,新春招財齊拜年,招財貓金（里謝里雅堡46.74）,Lv1千兩招財貓,888,萬兩招財貓,Lv1千兩招財貓 ＋ 888 ＝ 萬兩招財貓,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html)
未載明（公告日 2023-01-18）,2023-01-18,新春招財齊拜年,招財貓金（里謝里雅堡46.74）,Lv1十萬兩招財貓,2888,億萬兩招財貓,Lv1十萬兩招財貓 ＋ 2888 ＝ 億萬兩招財貓,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html)
未載明（公告日 2023-01-18）,2023-01-18,新春招財齊拜年,兔年使者（里謝里雅堡41.76）,Lv1兔吉祥,兔吉祥的進化帽*1 兔吉的毛髮*10 10000G金幣,Lv1吉祥癸兔,"Lv1兔吉祥 ＋ 兔吉祥的進化帽×1 ＋ 兔吉的毛髮×10 ＋ 金幣10,000G ＝ Lv1吉祥癸兔",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html)
未載明（公告日 2023-01-18）,2023-01-18,新春招財齊拜年,兔年使者（里謝里雅堡41.76）,Lv1兔吉星,兔吉星的進化帽*1 兔吉的毛髮*10 10000G金幣,Lv1吉星癸兔,"Lv1兔吉星 ＋ 兔吉星的進化帽×1 ＋ 兔吉的毛髮×10 ＋ 金幣10,000G ＝ Lv1吉星癸兔",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html)
未載明（公告日 2023-01-18）,2023-01-18,新春招財齊拜年,兔年使者（里謝里雅堡41.76）,Lv1兔吉利,兔吉利的進化帽*1 兔吉的毛髮*10 10000G金幣,Lv1吉利癸兔,"Lv1兔吉利 ＋ 兔吉利的進化帽×1 ＋ 兔吉的毛髮×10 ＋ 金幣10,000G ＝ Lv1吉利癸兔",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html)
未載明（公告日 2023-01-18）,2023-01-18,新春招財齊拜年,兔年使者（里謝里雅堡41.76）,Lv1兔吉兆,兔吉兆的進化帽*1 兔吉的毛髮*10 10000G金幣,Lv1吉兆癸兔,"Lv1兔吉兆 ＋ 兔吉兆的進化帽×1 ＋ 兔吉的毛髮×10 ＋ 金幣10,000G ＝ Lv1吉兆癸兔",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html)
未載明（公告日 2023-01-05）,2023-01-05,勇者派好物 月靈伴你迎新年,NPC：奇奇卡(精靈城寵物店15，6）,Lv1仙靈,變異之源*3 逐月石*10 精靈王契約*100,逐月仙靈,Lv1仙靈 ＋ 變異之源×3 ＋ 逐月石×10 ＋ 精靈王契約×100 ＝ 逐月仙靈,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8944.html)
未載明（公告日 2022-12-31）,2022-12-31,新生露比賀新年 火力全開齊冒險,公告未載明,Lv80以上的見習騎士露比,變異之源*30 勇者之心*30,Lv1槍術大師露比,Lv80以上的見習騎士露比 ＋ 變異之源×30 ＋ 勇者之心×30 ＝ Lv1槍術大師露比,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：勇者之心（10%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
未載明（公告日 2022-12-31）,2022-12-31,新生露比賀新年 火力全開齊冒險,公告未載明,Lv80以上的見習格鬥家露比,變異之源*30 勇者之心*30,Lv1格鬥大師露比,Lv80以上的見習格鬥家露比 ＋ 變異之源×30 ＋ 勇者之心×30 ＝ Lv1格鬥大師露比,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：勇者之心（10%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
未載明（公告日 2022-12-31）,2022-12-31,新生露比賀新年 火力全開齊冒險,公告未載明,Lv80以上的見習戰斧露比,變異之源*30 勇者之心*30,Lv1戰斧大師露比,Lv80以上的見習戰斧露比 ＋ 變異之源×30 ＋ 勇者之心×30 ＝ Lv1戰斧大師露比,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：勇者之心（10%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
未載明（公告日 2022-12-31）,2022-12-31,新生露比賀新年 火力全開齊冒險,公告未載明,Lv80以上的見習弓箭手露比,變異之源*30 勇者之心*30,Lv1弓術大師露比,Lv80以上的見習弓箭手露比 ＋ 變異之源×30 ＋ 勇者之心×30 ＝ Lv1弓術大師露比,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：勇者之心（10%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
未載明（公告日 2022-12-31）,2022-12-31,新生露比賀新年 火力全開齊冒險,公告未載明,Lv80以上的見習巫師露比,變異之源*30 勇者之心*30,Lv1巫術大師露比,Lv80以上的見習巫師露比 ＋ 變異之源×30 ＋ 勇者之心×30 ＝ Lv1巫術大師露比,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：勇者之心（10%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
未載明（公告日 2022-12-31）,2022-12-31,新生露比賀新年 火力全開齊冒險,公告未載明,Lv80以上的見習劍士露比,變異之源*30 勇者之心*30,Lv1劍術大師露比,Lv80以上的見習劍士露比 ＋ 變異之源×30 ＋ 勇者之心×30 ＝ Lv1劍術大師露比,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：勇者之心（10%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
未載明（公告日 2022-12-31）,2022-12-31,新生露比賀新年 火力全開齊冒險,公告未載明,Lv40以上的新生露比,露比長槍*1 勇者之心*10,Lv1見習騎士露比,Lv40以上的新生露比 ＋ 露比長槍×1 ＋ 勇者之心×10 ＝ Lv1見習騎士露比,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：勇者之心（10%）、當期寶盒／活動抽取：露比長槍（16.7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
未載明（公告日 2022-12-31）,2022-12-31,新生露比賀新年 火力全開齊冒險,公告未載明,Lv40以上的新生露比,露比甩棍*1 勇者之心*10,Lv1見習格鬥家露比,Lv40以上的新生露比 ＋ 露比甩棍×1 ＋ 勇者之心×10 ＝ Lv1見習格鬥家露比,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：勇者之心（10%）、當期寶盒／活動抽取：露比甩棍（16.7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
未載明（公告日 2022-12-31）,2022-12-31,新生露比賀新年 火力全開齊冒險,公告未載明,Lv40以上的新生露比,露比法杖*1 勇者之心*10,Lv1見習巫師露比,Lv40以上的新生露比 ＋ 露比法杖×1 ＋ 勇者之心×10 ＝ Lv1見習巫師露比,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：勇者之心（10%）、當期寶盒／活動抽取：露比法杖（16.7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
未載明（公告日 2022-12-31）,2022-12-31,新生露比賀新年 火力全開齊冒險,公告未載明,Lv40以上的新生露比,露比手斧*1 勇者之心*10,Lv1見習戰斧露比,Lv40以上的新生露比 ＋ 露比手斧×1 ＋ 勇者之心×10 ＝ Lv1見習戰斧露比,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：勇者之心（10%）、當期寶盒／活動抽取：露比手斧（16.6%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
未載明（公告日 2022-12-31）,2022-12-31,新生露比賀新年 火力全開齊冒險,公告未載明,Lv40以上的新生露比,露比巨劍*1 勇者之心*10,Lv1見習劍士露比,Lv40以上的新生露比 ＋ 露比巨劍×1 ＋ 勇者之心×10 ＝ Lv1見習劍士露比,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：勇者之心（10%）、當期寶盒／活動抽取：露比巨劍（16.7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
未載明（公告日 2022-12-31）,2022-12-31,新生露比賀新年 火力全開齊冒險,公告未載明,Lv40以上的新生露比,露比大弓*1 勇者之心*10,Lv1見習弓箭手露比,Lv40以上的新生露比 ＋ 露比大弓×1 ＋ 勇者之心×10 ＝ Lv1見習弓箭手露比,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：勇者之心（10%）、當期寶盒／活動抽取：露比大弓（16.7%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
未載明（公告日 2022-12-21）,2022-12-21,聖誕第二彈 聖誕王子,NPC：奇奇卡(精靈城寵物店15，6）,Lv1赤燄,變異之源*3 希望火柴盒*10 精靈王契約*50 金幣100000G,火柴小王子,"Lv1赤燄 ＋ 變異之源×3 ＋ 希望火柴盒×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ 火柴小王子",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8854.html)
未載明（公告日 2022-12-21）,2022-12-21,聖誕第二彈 聖誕王子,NPC：奇奇卡(精靈城寵物店15，6）,Lv1碧燄,變異之源*3 希望火柴盒*10 精靈王契約*50 金幣100000G,火柴小王子,"Lv1碧燄 ＋ 變異之源×3 ＋ 希望火柴盒×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ 火柴小王子",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8854.html)
未載明（公告日 2022-12-12）,2022-12-12,邪魅的暗夜旅團 咒殺型改造人,公告未載明,山吹,咒殺型山吹設計圖A*1 咒殺型山吹設計圖B*1 咒殺型山吹設計圖C*1 咒殺型山吹設計圖D*1 咒殺型山吹設計圖E*1,咒殺型山吹,山吹 ＋ 咒殺型山吹設計圖A×1 ＋ 咒殺型山吹設計圖B×1 ＋ 咒殺型山吹設計圖C×1 ＋ 咒殺型山吹設計圖D×1 ＋ 咒殺型山吹設計圖E×1 ＝ 咒殺型山吹,所需寵物：當期寶盒／活動抽取：山吹召喚書；所需道具：當期寶盒／活動抽取：咒殺型山吹設計圖A（3%）、咒殺型山吹設計圖B（3%）、咒殺型山吹設計圖C（3%）、咒殺型山吹設計圖D（3%）、咒殺型山吹設計圖E（3%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8824.html)
未載明（公告日 2022-12-08）,2022-12-08,聖誕第一彈 精靈花環大聚會,NPC：奇奇卡(精靈城寵物店15，6）,Lv1雪獅,變異之源*3 暴雪花*10 精靈王契約*50,暴雪魔獸,Lv1雪獅 ＋ 變異之源×3 ＋ 暴雪花×10 ＋ 精靈王契約×50 ＝ 暴雪魔獸,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8814.html)
未載明（公告日 2022-12-08）,2022-12-08,聖誕第一彈 精靈花環大聚會,NPC：奇奇卡(精靈城寵物店15，6）,Lv1月獅,變異之源*3 蝕月花*10 精靈王契約*50,蝕月炎獸,Lv1月獅 ＋ 變異之源×3 ＋ 蝕月花×10 ＋ 精靈王契約×50 ＝ 蝕月炎獸,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8814.html)
未載明（公告日 2022-11-24）,2022-11-24,感恩巡迴禮 仙靈降賜福,NPC：奇奇卡(精靈城寵物店15，6）,Lv1仙靈,變異之源*3 星輝石*10 精靈王契約*100,星輝仙靈,Lv1仙靈 ＋ 變異之源×3 ＋ 星輝石×10 ＋ 精靈王契約×100 ＝ 星輝仙靈,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8764.html)
未載明（公告日 2022-11-11）,2022-11-11,至暗君王 撒旦降臨,公告未載明,地獄魔王,魔王撒旦設計圖A*1 魔王撒旦設計圖B*1 魔王撒旦設計圖C*1 魔王撒旦設計圖D*1 魔王撒旦設計圖E*1,魔王撒旦,地獄魔王 ＋ 魔王撒旦設計圖A×1 ＋ 魔王撒旦設計圖B×1 ＋ 魔王撒旦設計圖C×1 ＋ 魔王撒旦設計圖D×1 ＋ 魔王撒旦設計圖E×1 ＝ 魔王撒旦,所需寵物：當期寶盒／活動抽取：地獄魔王召喚書；所需道具：當期寶盒／活動抽取：魔王撒旦設計圖A（3%）、魔王撒旦設計圖B（3%）、魔王撒旦設計圖C（3%）、魔王撒旦設計圖D（3%）、魔王撒旦設計圖E（3%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8714.html)
未載明（公告日 2022-10-13）,2022-10-13,《魔力寶貝：永恆初心》精靈大陸活動第二彈,NPC：愛卡勒恩(寵物研究所15，8）,Lv1炎精靈,火元素之卵*3 閃耀變異之源*10 精靈王契約*100,烈焰元素使,Lv1炎精靈 ＋ 火元素之卵×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＝ 烈焰元素使,所需寵物：公告未另載；所需道具：當期寶盒／活動抽取：精靈王契約（0.3%）、當期寶盒／活動抽取：精靈王契約（0.6%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8484.html)
未載明（公告日 2022-10-09）,2022-10-09,詛咒一族 赤紅與金黃的騎士,公告未載明,猩紅騎士,帕布提斯馬設計圖A*1 帕布提斯馬設計圖B*1 帕布提斯馬設計圖C*1 帕布提斯馬設計圖D*1 帕布提斯馬設計圖E*1,帕布提斯馬,猩紅騎士 ＋ 帕布提斯馬設計圖A×1 ＋ 帕布提斯馬設計圖B×1 ＋ 帕布提斯馬設計圖C×1 ＋ 帕布提斯馬設計圖D×1 ＋ 帕布提斯馬設計圖E×1 ＝ 帕布提斯馬,所需寵物：當期寶盒／活動抽取：猩紅騎士召喚書；所需道具：當期寶盒／活動抽取：帕布提斯馬設計圖A（1.5%）、帕布提斯馬設計圖B（1.5%）、帕布提斯馬設計圖C（1.5%）、帕布提斯馬設計圖D（1.5%）、帕布提斯馬設計圖E（1.5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8464.html)
未載明（公告日 2022-10-09）,2022-10-09,詛咒一族 赤紅與金黃的騎士,公告未載明,死亡騎士,凱法設計圖A*1 凱法設計圖B*1 凱法設計圖C*1 凱法設計圖D*1 凱法設計圖E*1,凱法,死亡騎士 ＋ 凱法設計圖A×1 ＋ 凱法設計圖B×1 ＋ 凱法設計圖C×1 ＋ 凱法設計圖D×1 ＋ 凱法設計圖E×1 ＝ 凱法,所需寵物：當期寶盒／活動抽取：死亡騎士召喚書；所需道具：當期寶盒／活動抽取：凱法設計圖A（1.5%）、凱法設計圖B（1.5%）、凱法設計圖C（1.5%）、凱法設計圖D（1.5%）、凱法設計圖E（1.5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8464.html)
未載明（公告日 2022-09-29）,2022-09-29,《魔力寶貝：永恆初心》慶祝勇者踏足精靈大陸 好禮活動盛大開放,NPC：愛卡勒恩(寵物研究所15，8）,Lv1木精靈,地元素之卵*3 閃耀變異之源*10 精靈王契約*100,大地元素使,Lv1木精靈 ＋ 地元素之卵×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＝ 大地元素使,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8364.html)
未載明（公告日 2022-09-09）,2022-09-09,再遇失翼之龍 神龍杜瓦的呼喚,公告未載明,大地巨龍,失翼之龍設計圖A*1 失翼之龍設計圖B*1 失翼之龍設計圖C*1 失翼之龍設計圖D*1 失翼之龍設計圖E*1,失翼之龍,大地巨龍 ＋ 失翼之龍設計圖A×1 ＋ 失翼之龍設計圖B×1 ＋ 失翼之龍設計圖C×1 ＋ 失翼之龍設計圖D×1 ＋ 失翼之龍設計圖E×1 ＝ 失翼之龍,所需寵物：當期寶盒／活動抽取：大地巨龍召喚書；所需道具：當期寶盒／活動抽取：失翼之龍設計圖A（3%）、失翼之龍設計圖B（3%）、失翼之龍設計圖C（3%）、失翼之龍設計圖D（3%）、失翼之龍設計圖E（3%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8294.html)
未載明（公告日 2022-08-05）,2022-08-05,酒之殿堂的戰神 寒冰牛魔王震撼登場,公告未載明,寒冰牛頭怪,寒冰牛魔王設計圖A*1 寒冰牛魔王設計圖B*1 寒冰牛魔王設計圖C*1 寒冰牛魔王設計圖D*1 寒冰牛魔王設計圖E*1,寒冰牛魔王,寒冰牛頭怪 ＋ 寒冰牛魔王設計圖A×1 ＋ 寒冰牛魔王設計圖B×1 ＋ 寒冰牛魔王設計圖C×1 ＋ 寒冰牛魔王設計圖D×1 ＋ 寒冰牛魔王設計圖E×1 ＝ 寒冰牛魔王,所需寵物：當期寶盒／活動抽取：寒冰牛頭怪召喚書；所需道具：當期寶盒／活動抽取：寒冰牛魔王設計圖A（3%）、寒冰牛魔王設計圖B（3%）、寒冰牛魔王設計圖C（3%）、寒冰牛魔王設計圖D（3%）、寒冰牛魔王設計圖E（3%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8033.html)
未載明（公告日 2022-07-07）,2022-07-07,《魔力寶貝：永恆初心》21週年慶第一彈,公告未載明,地獄亡靈,地獄惡魔設計圖A*1 地獄惡魔設計圖B*1 地獄惡魔設計圖C*1 地獄惡魔設計圖D*1 地獄惡魔設計圖E*1,地獄惡魔,地獄亡靈 ＋ 地獄惡魔設計圖A×1 ＋ 地獄惡魔設計圖B×1 ＋ 地獄惡魔設計圖C×1 ＋ 地獄惡魔設計圖D×1 ＋ 地獄惡魔設計圖E×1 ＝ 地獄惡魔,所需寵物：當期寶盒／活動抽取：地獄亡靈召喚書；所需道具：當期寶盒／活動抽取：地獄惡魔設計圖A（3%）、地獄惡魔設計圖B（3%）、地獄惡魔設計圖C（3%）、地獄惡魔設計圖D（3%）、地獄惡魔設計圖E（3%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7913.html)
未載明（公告日 2022-06-02）,2022-06-02,鬼魅無頭 沙海將軍來襲,公告未載明,無頭將軍,沙海將軍設計圖A*1 沙海將軍設計圖B*1 沙海將軍設計圖C*1 沙海將軍設計圖D*1 沙海將軍設計圖E*1,沙海將軍,無頭將軍 ＋ 沙海將軍設計圖A×1 ＋ 沙海將軍設計圖B×1 ＋ 沙海將軍設計圖C×1 ＋ 沙海將軍設計圖D×1 ＋ 沙海將軍設計圖E×1 ＝ 沙海將軍,所需寵物：當期寶盒／活動抽取：無頭將軍召喚書；所需道具：當期寶盒／活動抽取：沙海將軍設計圖A（3%）、沙海將軍設計圖B（3%）、沙海將軍設計圖C（3%）、沙海將軍設計圖D（3%）、沙海將軍設計圖E（3%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7753.html)
2022-05-05～2022-06-01,2022-05-05,「5月5日聖龍寶盒」,公告未載明,翼龍,神聖翼龍設計圖A*1 神聖翼龍設計圖B*1 神聖翼龍設計圖C*1 神聖翼龍設計圖D*1 神聖翼龍設計圖E*1,神聖翼龍,翼龍 ＋ 神聖翼龍設計圖A×1 ＋ 神聖翼龍設計圖B×1 ＋ 神聖翼龍設計圖C×1 ＋ 神聖翼龍設計圖D×1 ＋ 神聖翼龍設計圖E×1 ＝ 神聖翼龍,所需寵物：當期寶盒／活動抽取：翼龍召喚書；所需道具：當期寶盒／活動抽取：神聖翼龍設計圖A（3%）、神聖翼龍設計圖B（3%）、神聖翼龍設計圖C（3%）、神聖翼龍設計圖D（3%）、神聖翼龍設計圖E（3%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7483.html)
