名稱,分類,子分類,等級,說明,入手方式,image
銀條,材料,武器,,,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（鎧甲）；配方材料（衣服）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
銅條,材料,武器,,,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（帽子）；配方材料（鎧甲）；配方材料（衣服）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
鋁條,材料,武器,,,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
鐵條,材料,武器,,,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
魔族的水晶,材料,武器,,,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（帽子）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
麻布,材料,武器,,,配方材料（弓）；配方材料（投擲武器）；配方材料（頭盔）；配方材料（帽子）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
摩斯蜥蜴,材料,藥水,,,配方材料（藥水）,
渾濁的水,材料,藥水,,,配方材料（藥水）,
迷你蝙蝠的血,材料,藥水,,,配方材料（藥水）,
傑諾瓦線,材料,防具,,,配方材料（帽子）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）,
地的水晶碎片,材料,防具,,,配方材料（帽子）；配方材料（衣服）,
大炸彈的卡片,材料,防具,,,配方材料（鞋子）,
妖草的血,材料,防具,,,配方材料（衣服）,
德特家的布,材料,防具,,,配方材料（帽子）,
水的水晶碎片,材料,防具,,,配方材料（帽子）；配方材料（衣服）；配方材料（藥水）,
火的水晶碎片,材料,防具,,,配方材料（帽子）；配方材料（衣服）,
生鏽的盾,材料,防具,,,配方材料（盾牌）,
生鏽的鎧,材料,防具,,,配方材料（鎧甲）,
生鏽的頭盔,材料,防具,,,配方材料（頭盔）,
破損的鞋,材料,防具,,,配方材料（鞋子）,
破爛的帽子,材料,防具,,,配方材料（帽子）,
破爛的衣服,材料,防具,,,配方材料（衣服）,
破爛的袍,材料,防具,,,配方材料（長袍）,
破爛的靴子,材料,防具,,,配方材料（靴子）,
細麻布,材料,防具,,,配方材料（帽子）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）,
莎蓮娜線,材料,防具,,,配方材料（頭盔）；配方材料（帽子）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）,
蔓陀羅草的皮,材料,防具,,,配方材料（帽子）；配方材料（鎧甲）,
開士米毛線,材料,防具,,,配方材料（長袍）,
開米士毛線,材料,防具,,,配方材料（帽子）；配方材料（衣服）；配方材料（鞋子）,
阿巴尼斯製的布,材料,防具,,,配方材料（長袍）；配方材料（靴子）,
阿巴尼斯製的線,材料,防具,,,配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）,
隕石,材料,防具,,,配方材料（靴子）；配方材料（鞋子）,
風的水晶碎片,材料,防具,,,配方材料（衣服）,
風龍蜥的甲殼,材料,防具,,,配方材料（鎧甲）,
不死冥蝠,活動道具,寵物合成,,,活動：[中元幽冥之瞳 骷髏王的王權迴響](/寵物合成活動),
九頭巨蛇設計圖ABCDE,活動道具,寵物合成,,,活動：[冠絕天際 龍威鎮魔界](/寵物合成活動),
侍魂之證,活動道具,寵物合成,,,活動：[劍之侍魂 武魂狂人](/寵物合成活動),
修仙石,活動道具,寵物合成,,,活動：[兄弟羈絆 一念仙魔](/寵物合成活動),
共生記憶活體,活動道具,寵物合成,,,活動：[改造狂想曲 超越極限的雙重詠嘆](/寵物合成活動),
冥府血脈,活動道具,寵物合成,,,活動：[古代沙漠傳說 埃及三頭龍復生](/寵物合成活動),
冥界死神 設計圖ABCDE,活動道具,寵物合成,,,活動：[萬聖狂欢 百魅之夜](/寵物合成活動),
冥界死神設計圖ABCDE,活動道具,寵物合成,,,活動：[午夜狂歡 萬鬼夜行](/寵物合成活動),
冥龍之心,活動道具,寵物合成,,,活動：[跨越死亡冥域的契約 掌控不朽龍王之力](/寵物合成活動),
冰原獨角獸設計圖ABC,活動道具,寵物合成,,,活動：[光之指引救贖之子 保底必得馬年限定寵物](/寵物合成活動),
凜冬之怒,活動道具,寵物合成,,,活動：[跨越凡塵的蛻變，凜冬巨龍破冰降世](/寵物合成活動),
刀客劍次設計圖ABCDE,活動道具,寵物合成,,,活動：[刀客之志 狂魔與少年](/寵物合成活動),
勇者之魂,活動道具,寵物合成,,,活動：[千年血脈的呼喚勇者小隊再集結 首日9折&首週血脈共鳴成功率直升三倍](/寵物合成活動),
化龍泉水,活動道具,寵物合成,,,活動：[冠絕天際 龍威鎮魔界](/寵物合成活動),
喚靈契約符,活動道具,寵物合成,,,活動：[最強家族招募大作戰 貪慾牛魔限時來襲](/寵物合成活動),
噬主之魄,活動道具,寵物合成,,,活動：[血染千魂妖刀 白焰的救贖對決](/寵物合成活動),
地核晶石,活動道具,寵物合成,,,活動：[聖紋啟示錄 龍與騎士的誓約](/寵物合成活動),
天使之羽,活動道具,寵物合成,,,活動：[神之使者 天使降臨](/寵物合成活動),
天啟鎧甲,活動道具,寵物合成,,,活動：[開啟回憶的羈絆 白銀之魂猶大](/寵物合成活動),
太晶之源,活動道具,寵物合成,,,活動：[探索帕琪娜火山裂縫 揭開龍蝦太晶之謎](/寵物合成活動),
太晶之源碎片,活動道具,寵物合成,,,活動：[探索帕琪娜火山裂縫 揭開龍蝦太晶之謎](/寵物合成活動),
奇美拉試做基因,活動道具,寵物合成,,,活動：[改造藝術的巔峰 黑暗奇美拉登場](/寵物合成活動),
奈斯橙米,活動道具,寵物合成,,,活動：[《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！](/寵物合成活動),
奈斯白米,活動道具,寵物合成,,,活動：[《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！](/寵物合成活動),
奈斯紅米,活動道具,寵物合成,,,活動：[《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！](/寵物合成活動),
奪魂 闇影設計圖ABCDE,活動道具,寵物合成,,,活動：[黑夜之影 夢魘奪魂之主](/寵物合成活動),
奪魂 陰影設計圖ABCDE,活動道具,寵物合成,,,活動：[黑夜之影 夢魘奪魂之主](/寵物合成活動),
奪魂晶礦,活動道具,寵物合成,,,活動：[黑夜之影 夢魘奪魂之主](/寵物合成活動),
女媧重石,活動道具,寵物合成,,,活動：[惡龍大亂鬥 拯救聖誕火雞](/寵物合成活動),
寶貝蛋糕進化券,活動道具,寵物合成,,,活動：[《魔力寶貝：永恆初心》五週年慶溫情啟幕 御法劍仙「神樂」降臨](/寵物合成活動),
小白鼠或小紅鼠,活動道具,寵物合成,,,活動：[《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！](/寵物合成活動),
布丁史萊姆設計圖ABC,活動道具,寵物合成,,,活動：[黃金迷宮與神龍的傳說 保底必得限定黃金獸](/寵物合成活動),
布偶夏莉設計圖ABC,活動道具,寵物合成,,,活動：[光之指引救贖之子 保底必得馬年限定寵物](/寵物合成活動),
布雷歐設計圖ABCDE,活動道具,寵物合成,,,活動：[改造的巔峰藝術 紅翼奇美拉的崛起](/寵物合成活動),
改造鈦白嚇人箱設計圖ABCDE,活動道具,寵物合成,,,活動：[《魔力寶貝：永恆初心》四週年活動第二彈火熱進行中](/寵物合成活動),
斬首者 設計圖ABCDE,活動道具,寵物合成,,,活動：[萬聖狂欢 百魅之夜](/寵物合成活動),
斬首者設計圖ABCDE,活動道具,寵物合成,,,活動：[午夜狂歡 萬鬼夜行](/寵物合成活動),
暗黑僧侶 設計圖ABCDE,活動道具,寵物合成,,,活動：[萬聖狂欢 百魅之夜](/寵物合成活動),
暗黑僧侶設計圖ABCDE,活動道具,寵物合成,,,活動：[午夜狂歡 萬鬼夜行](/寵物合成活動),
櫻 之聖角,活動道具,寵物合成,,,活動：[神櫻綻放 春日女神限定召喚](/寵物合成活動),
武士和馬設計圖ABCDE,活動道具,寵物合成,,,活動：[劍之侍魂 武魂狂人](/寵物合成活動),
死靈精華,活動道具,寵物合成,,,活動：[中元節驚悚來襲 魔女妮可的低語](/寵物合成活動),
永恆花仙進化券,活動道具,寵物合成,,,活動：[《魔力寶貝：永恆初心》五週年慶溫情啟幕 御法劍仙「神樂」降臨](/寵物合成活動),
洗髓丹,活動道具,寵物合成,,,活動：[兄弟羈絆 一念仙魔](/寵物合成活動),
浴火雛菊,活動道具,寵物合成,,,活動：[改造的巔峰藝術 紅翼奇美拉的崛起](/寵物合成活動),
潮汐王冠,活動道具,寵物合成,,,活動：[湛藍的傳說 潮汐魟王降臨](/寵物合成活動),
灼炎龍心玉,活動道具,寵物合成,,,活動：[無盡櫻海綻放 緋紅巨龍歸來](/寵物合成活動),
災厄王印,活動道具,寵物合成,,,活動：[駕馭禁忌之力 簽訂噬歲時序的傳說](/寵物合成活動),
狂魔刀譜,活動道具,寵物合成,,,活動：[刀客之志 狂魔與少年](/寵物合成活動),
猶大設計圖ABCDE,活動道具,寵物合成,,,活動：[開啟回憶的羈絆 白銀之魂猶大](/寵物合成活動),
白銀之心,活動道具,寵物合成,,,活動：[引領正義的使命 貝尼恰斯教團](/寵物合成活動),
百合之花,活動道具,寵物合成,,,活動：[引領正義的使命 貝尼恰斯教團](/寵物合成活動),
神樂之聖角,活動道具,寵物合成,,,活動：[五週年收官獻禮 訂製屬於你的心愛陪伴](/寵物合成活動)；活動：[《魔力寶貝：永恆初心》五週年慶溫情啟幕 御法劍仙「神樂」降臨](/寵物合成活動),
神祈之魂,活動道具,寵物合成,,,活動：[最強家族招募大作戰 貪慾牛魔限時來襲](/寵物合成活動),
神聖之羽,活動道具,寵物合成,,,活動：[《魔力寶貝》23週年慶最終彈](/寵物合成活動),
精靈王契約,活動道具,寵物合成,,,活動：[新職業登場！無雙刀客參上](/寵物合成活動),
糖果大地鼠設計圖ABC,活動道具,寵物合成,,,活動：[失蹤的馴鹿大作戰 與搗蛋大王的約定](/寵物合成活動),
紅蓮設計圖ABCDE,活動道具,寵物合成,,,活動：[辰龍賜福 結締龍族羈絆](/寵物合成活動),
純白誓約之冕,活動道具,寵物合成,,,活動：[黑暗中的愛之極光 百合與白銀的永恆誓約](/寵物合成活動),
紫龍魂契,活動道具,寵物合成,,,活動：[虛無暗淵之主 沉睡的紫獄龍王](/寵物合成活動),
聖誕星人許願卡,活動道具,寵物合成,,,活動：[光之指引救贖之子 保底必得馬年限定寵物](/寵物合成活動)；活動：[失蹤的馴鹿大作戰 與搗蛋大王的約定](/寵物合成活動)；活動：[法蘭聖誕序曲 暖冬歸途獻豪禮](/寵物合成活動),
聖誕水藍鼠設計圖ABC,活動道具,寵物合成,,,活動：[失蹤的馴鹿大作戰 與搗蛋大王的約定](/寵物合成活動),
聖誕馴鹿設計圖ABC,活動道具,寵物合成,,,活動：[失蹤的馴鹿大作戰 與搗蛋大王的約定](/寵物合成活動),
聖龍之契,活動道具,寵物合成,,,活動：[引領正義的使命 貝尼恰斯教團](/寵物合成活動),
聖龍血脈,活動道具,寵物合成,,,活動：[《魔力寶貝：永恆初心》二週年活動盛大開啟](/寵物合成活動),
舞之聖角,活動道具,寵物合成,,,活動：[光之指引救贖之子 保底必得馬年限定寵物](/寵物合成活動),
虛空之魂,活動道具,寵物合成,,,活動：[最強家族招募大作戰 貪慾牛魔限時來襲](/寵物合成活動),
虛空印記,活動道具,寵物合成,,,活動：[聖光破曉 虛空之龍震撼來襲](/寵物合成活動),
變異之源,活動道具,寵物合成,,,活動：[中元節驚悚來襲 魔女妮可的低語](/寵物合成活動)；活動：[新職業登場！無雙刀客參上](/寵物合成活動),
超級手術刀,活動道具,寵物合成,,,活動：[魔族改造人 不死暗醫登場](/寵物合成活動),
轉生之羽,活動道具,寵物合成,,,活動：[神之使者 天使降臨](/寵物合成活動),
轉生之魂,活動道具,寵物合成,,,活動：[霸天巨獸 牛鬼領主](/寵物合成活動),
轉生刀魄,活動道具,寵物合成,,,活動：[刀客之志 狂魔與少年](/寵物合成活動),
轉生影珠,活動道具,寵物合成,,,活動：[黑夜之影 夢魘奪魂之主](/寵物合成活動),
轉生手術刀,活動道具,寵物合成,,,活動：[魔族改造人 不死暗醫登場](/寵物合成活動),
轉生武魂,活動道具,寵物合成,,,活動：[劍之侍魂 武魂狂人](/寵物合成活動),
轉生火蛋殼,活動道具,寵物合成,,,活動：[改造的巔峰藝術 紅翼奇美拉的崛起](/寵物合成活動),
轉生蛇毒,活動道具,寵物合成,,,活動：[冠絕天際 龍威鎮魔界](/寵物合成活動),
轉生辰願,活動道具,寵物合成,,,活動：[辰龍賜福 結締龍族羈絆](/寵物合成活動),
轉生鎧甲,活動道具,寵物合成,,,活動：[開啟回憶的羈絆 白銀之魂猶大](/寵物合成活動),
轉生龍魂,活動道具,寵物合成,,,活動：[《魔力寶貝：永恆初心》二週年活動盛大開啟](/寵物合成活動),
辰龍之力,活動道具,寵物合成,,,活動：[辰龍賜福 結締龍族羈絆](/寵物合成活動),
鋼鐵之心,活動道具,寵物合成,,,活動：[歸來的王者 煉獄軍團長登場](/寵物合成活動),
鐮刀魔設計圖ABCDE,活動道具,寵物合成,,,活動：[午夜狂歡 萬鬼夜行](/寵物合成活動)；活動：[萬聖狂欢 百魅之夜](/寵物合成活動),
閃耀變異之源,活動道具,寵物合成,,,活動：[五週年收官獻禮 訂製屬於你的心愛陪伴](/寵物合成活動)；活動：[五週年慶第三彈 黄金迷宫之雷影](/寵物合成活動)；活動：[《魔力寶貝：永恆初心》五週年慶溫情啟幕 御法劍仙「神樂」降臨](/寵物合成活動)；活動：[神櫻綻放 春日女神限定召喚](/寵物合成活動)；活動：[光之指引救贖之子 保底必得馬年限定寵物](/寵物合成活動)；活動：[中元幽冥之瞳 骷髏王的王權迴響](/寵物合成活動),
阿魯巴斯克隆體設計圖ABCDE,活動道具,寵物合成,,,活動：[魔族改造人 不死暗醫登場](/寵物合成活動),
雙子晶核,活動道具,寵物合成,,,活動：[命運雙子 共譜星辰之路](/寵物合成活動),
雪之聖角,活動道具,寵物合成,,,活動：[雪之冰華傳說 通往神域的覺醒門扉](/寵物合成活動),
雷影之聖角,活動道具,寵物合成,,,活動：[五週年慶第三彈 黄金迷宫之雷影](/寵物合成活動),
露比設計圖ABC,活動道具,寵物合成,,,活動：[光之指引救贖之子 保底必得馬年限定寵物](/寵物合成活動),
領主之魂,活動道具,寵物合成,,,活動：[霸天巨獸 牛鬼領主](/寵物合成活動),
風暴魂晶,活動道具,寵物合成,,,活動：[召喚風暴軍團 掌控疾風之力](/寵物合成活動),
飛馬公主設計圖ABC,活動道具,寵物合成,,,活動：[光之指引救贖之子 保底必得馬年限定寵物](/寵物合成活動),
黑暗之魂,活動道具,寵物合成,,,活動：[最強家族招募大作戰 貪慾牛魔限時來襲](/寵物合成活動),
龍脈光能寶石,活動道具,寵物合成,,,活動：[銀龍傳說再現 重塑世界法則](/寵物合成活動),
25週年慶寶石鼠召喚書,召喚書,,,使用後可隨機召喚一隻『1等25週年慶寶石鼠召喚書』作為自己的寵物。,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；25週年紀念幣兌換（里謝里雅堡 44,86）；紀念幣×1000",
改造寵物設計箱（1）,設計圖,寵物設計箱,,可隨機獲得【貓妖、赤熊、地獄骷髏、水藍菇、迷你石像怪】其中一隻的改造設計圖,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；25週年紀念幣兌換（里謝里雅堡 44,86）；紀念幣×650",
25週年好運寶箱,道具,,,使用後可隨機獲得一個25週年的首飾。【砂之鎧、月讀、精神衝擊波、鬥志昂揚魔法、鋒上魂等技能之一耗魔減少10%】,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；25週年紀念幣兌換（里謝里雅堡 44,86）；紀念幣×500",
誕生週年萌雞頭飾（綁）,飾品,頭飾,,生命+300，攻擊+30，精神+30，必殺+10，閃避+10,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；25週年紀念幣兌換（里謝里雅堡 44,86）；紀念幣×380",
初心者活力飲料,道具,,,增加1個小時的工作時間,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；25週年紀念幣兌換（里謝里雅堡 44,86）；紀念幣×200",
嫉妒女神蘋果,道具,,,可加適量名望,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；25週年紀念幣兌換（里謝里雅堡 44,86）；紀念幣×80",
大地鼠變身卡（綁）,道具,變身卡,,/,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；25週年紀念幣兌換（里謝里雅堡 44,86）；紀念幣×10",
大地鼠彩券,道具,,,/,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；25週年紀念幣兌換（里謝里雅堡 44,86）；紀念幣×1",
王者守護神（綁）,道具,,,可增加偷襲率,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；週年鼠王勛章（里謝里雅堡 48,77）；紀念幣×35",
中級人物經驗卷（綁）,道具,,,增加10萬人物經驗,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；週年鼠王勛章（里謝里雅堡 48,77）；紀念幣×14",
祝福水晶原石（綁）,道具,,,可獲得1顆祝福水晶,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；週年鼠王勛章（里謝里雅堡 48,77）；紀念幣×5",
初階寵物裝備禮包（綁）,道具,,,可獲得1個9級寵物裝備,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；週年鼠王勛章（里謝里雅堡 48,77）；紀念幣×3",
留言板專用筆（綁）,道具,,,/,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；週年鼠王勛章（里謝里雅堡 48,77）；紀念幣×2",
小瓶技能經驗藥水（綁）,道具,,,增加100點技能經驗,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；週年鼠王勛章（里謝里雅堡 48,77）；紀念幣×1",
迴旋之空頭飾,飾品,頭飾,,屬性：生命+400，精神+100，魔攻+100，可小幅提升運氣值。,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；頭飾",
夢幻星夜頭飾,飾品,頭飾,,屬性：生命+（400~500），精神+（100~150），魔攻+（100~200），可大幅提升運氣值。,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；頭飾",
梵高畫布,合成材料,,,抽取機率 9%,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；迴旋星夜禮盒（抽獎）",
新月晶砂,合成材料,,,抽取機率 90%,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；迴旋星夜禮盒（抽獎）",
仙人的成仙錦囊,道具,,,抽取機率 20%,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；獎品（抽獎）",
白依試做體召喚書,召喚書,,,抽取機率 20%,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；獎品（抽獎）",
25週年慶熊熊召喚書,召喚書,,,抽取機率 20%,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；獎品（抽獎）",
潛龍殺LV13學習卷軸,材料,卷軸,,抽取機率 20%,"公告：[17584](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html)；獎品（抽獎）",
