名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,image,任務用途,新聞來源
虛弱的雷霆詛咒者,人形系,10,10,10,10,10,,50,火3風7,攻擊、防禦,,,mlbb_news_13624.txt
大地詛咒者,人形系,10,10,10,10,10,,50,風3地7,攻擊、防禦,,,mlbb_news_13624.txt
寒冰詛咒者,人形系,10,10,10,10,10,,50,地3水7,攻擊、防禦,,,mlbb_news_13624.txt
火焰詛咒者,人形系,10,10,10,10,10,,50,水3火7,攻擊、防禦,,,mlbb_news_13624.txt
雷霆詛咒者,人形系,10,10,10,10,10,,50,火3風7,攻擊、防禦,,,mlbb_news_13624.txt
惡魔女帝,不死系,37,50,6,26,6,,125,水5火5,攻擊、防禦,,,mlbb_news_13624.txt
幻之惡魔,不死系,33,6,11,26,49,,125,地10,攻擊、防禦,,,mlbb_news_13624.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_13634.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_13634.txt
戰鬥天使,飛行系,33,6,8,28,50,,125,地10,攻擊、防禦,,,mlbb_news_13684.txt
卡蘿,人形系,28,47,14,30,6,,125,水10,攻擊、防禦,,,mlbb_news_13684.txt
天界蝙蝠,飛行系,28,6,14,30,47,,125,風8地2,攻擊、防禦,,,mlbb_news_13684.txt
碧藍妖精,飛行系,23,45,20,27,8,,123,地2水8,攻擊、防禦,,,mlbb_news_13684.txt
魔弓巴克達,人形系,28,48,19,24,6,,125,地6水4,攻擊、防禦,,,mlbb_news_13694.txt
魔界小惡魔,人形系,27,42,21,18,12,,120,地7水3,攻擊、防禦,,,mlbb_news_13694.txt
天界小惡魔,人形系,18,12,21,27,42,,120,水7火3,攻擊、防禦,,,mlbb_news_13694.txt
深淵小惡魔,人形系,27,12,18,21,42,,120,火7風3,攻擊、防禦,,,mlbb_news_13694.txt
地獄小惡魔,人形系,42,21,27,18,12,,120,風7地3,攻擊、防禦,,,mlbb_news_13694.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_13694.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_13714.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_13714.txt
依格羅斯,飛行系,27,45,14,29,10,,125,火2風8,攻擊、防禦,,,mlbb_news_13744.txt
神聖天使,飛行系,37,6,6,26,50,,125,火5風5,攻擊、防禦,,,mlbb_news_13744.txt
時雨天,人形系,40,45,6,28,6,,125,風10,攻擊、防禦,,,mlbb_news_13744.txt
愛情天使,飛行系,32,6,8,30,49,,125,火10,攻擊、防禦,,,mlbb_news_13744.txt
火焰舞動者,植物系,29,50,14,26,6,,125,水2火8,攻擊、防禦,,,mlbb_news_13744.txt
七夕水藍鼠,野獸系,27,47,22,21,8,,125,水10,攻擊、防禦,,,mlbb_news_13754.txt
星幻冥神,不死系,35,45,10,25,10,,125,水5火5,攻擊、防禦,,,mlbb_news_13754.txt
魔女妮可,不死系,29,6,14,28,48,,125,風10,攻擊、防禦,,,mlbb_news_13784.txt
伯爵之棺,不死系,26,45,15,29,10,,125,火2風8,攻擊、防禦,,,mlbb_news_13784.txt
墓碑鬼手,不死系,27,37,27,16,16,,123,火2風8,攻擊、防禦,,,mlbb_news_13784.txt
魔道死靈,不死系,37,8,14,19,47,,125,地8水2,攻擊、防禦,,,mlbb_news_13784.txt
星幻冥神,不死系,35,45,10,25,10,,125,水5火5,攻擊、防禦,,,mlbb_news_13814.txt
魅之惡魔,不死系,33,49,11,26,6,,125,風10,攻擊、防禦,,,mlbb_news_13884.txt
赤炎黑熊,野獸系,37,40,19,23,6,,125,火1風9,攻擊、防禦,,,mlbb_news_13884.txt
紅雲瓢蟲,昆蟲系,29,6,19,23,48,,125,火9風1,攻擊、防禦,,,mlbb_news_13884.txt
速遞企鵝,野獸系,27,35,27,17,19,,125,地3水7,攻擊、防禦,,,mlbb_news_13884.txt
巴拿猴,野獸系,21,33,19,35,14,,122,風9地1,攻擊、防禦,,,mlbb_news_13884.txt
碧魯猴,野獸系,37,34,16,19,17,,123,地9水1,攻擊、防禦,,,mlbb_news_13884.txt
兵長馬里諾,人形系,33,40,19,23,10,,125,風2地8,攻擊、防禦,,,mlbb_news_13904.txt
風暴軍團長武魂,金屬系,38,50,10,21,6,,125,火5風5,攻擊、防禦,,,mlbb_news_13904.txt
風暴軍團長魔魂,金屬系,38,6,10,21,50,,125,風10,攻擊、防禦,,,mlbb_news_13904.txt
彩虹麻薯兔兔,特殊系,32,6,12,30,45,,125,地10,攻擊、防禦,,,mlbb_news_13934.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_13944.txt
暗黑飛龍,飛行系,38,49,11,21,6,,125,火5風5,攻擊、防禦,,,mlbb_news_13994.txt
暗黑幼龍,飛行系,37,45,14,19,10,,125,火3風7,攻擊、防禦,,,mlbb_news_13994.txt
阿特拉斯海豚,飛行系,30,10,23,19,43,,125,地3水7,攻擊、防禦,,,mlbb_news_13994.txt
戰鬥貓熊,野獸系,42,42,18,17,6,,125,水10,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥火焰鼠,野獸系,24,7,15,30,49,,125,火10,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥骷髏戰士,不死系,42,42,12,12,17,,125,風7地3,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥亡靈,不死系,34,10,15,17,49,,125,火2風8,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥使魔,飛行系,14,7,15,40,49,,125,火7風3,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥獅鷲獸,飛行系,22,32,12,49,10,,125,風4地6,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥藍蠍,昆蟲系,27,8,23,20,47,,125,水9火1,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥致命螳螂,昆蟲系,28,44,15,27,11,,125,地3水7,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥死亡樹精,植物系,27,10,31,16,41,,125,地6水4,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥粉紅菇,植物系,40,10,15,14,46,,125,水4火6,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥火精,特殊系,42,8,8,25,42,,125,火10,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥旋律影子,特殊系,35,35,19,30,6,,125,水10,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥血腥之刃,金屬系,34,44,14,24,9,,125,地10,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥純白嚇人箱,金屬系,29,9,14,24,49,,125,風5地5,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥蜥蝪戰士,龍系,41,41,17,14,12,,125,地10,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥火龍蜥,龍系,37,47,12,22,7,,125,火8風2,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥海盜,人形系,25,43,19,28,10,,125,水8火2,攻擊、防禦,,,mlbb_news_14004.txt
戰鬥烈風鳥人,人形系,25,10,15,32,43,,125,火1風9,攻擊、防禦,,,mlbb_news_14004.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_14014.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_14014.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_14024.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_14024.txt
魔晶巨龍,龍系,26,38,27,19,10,,120,風5地5,攻擊、防禦,,,mlbb_news_14074.txt
魔晶暴龍王,龍系,30,41,13,35,6,,125,風5地5,攻擊、防禦,,,mlbb_news_14074.txt
吹雪,人形系,29,44,17,25,10,,125,火10,攻擊、防禦,,,mlbb_news_14074.txt
咒殺型小櫻,人形系,17,6,12,50,40,,125,水5火5,攻擊、防禦,,,mlbb_news_14074.txt
鳳橘花妖王,植物系,21,6,15,42,41,,125,風8地2,攻擊、防禦,,,mlbb_news_14084.txt
夢之惡魔,不死系,40,6,11,19,49,,125,地5水5,攻擊、防禦,,,mlbb_news_14084.txt
單眼藍巨人,人形系,34,44,19,19,9,,125,地1水9,攻擊、防禦,,,mlbb_news_14084.txt
聖魂阿爾卡迪亞,人形系,52,38,11,18,6,,125,火5風5,攻擊、防禦,,,mlbb_news_14104.txt
神隱魔偶,金屬系,27,47,16,29,6,,125,風4地6,攻擊、防禦,,,mlbb_news_14104.txt
山吹,人形系,13,23,25,22,37,,120,水5火5,攻擊、防禦,,,mlbb_news_14104.txt
咒殺型山吹,人形系,15,6,11,47,46,,125,水5火5,攻擊、防禦,,,mlbb_news_14104.txt
花仙子,植物系,33,6,13,26,47,,125,風5地5,攻擊、防禦,,,mlbb_news_14104.txt
沐火碧睛獸,野獸系,42,42,18,16,7,,125,水1火9,攻擊、防禦,,,mlbb_news_14164.txt
影女,人形系,27,44,13,35,6,,125,地10,攻擊、防禦,,,mlbb_news_14164.txt
淘氣炸彈,特殊系,17,6,11,47,44,,125,地5水5,攻擊、防禦,,,mlbb_news_14164.txt
風舞巫魅,人形系,17,6,11,47,44,,125,地5水5,攻擊、防禦,,,mlbb_news_14164.txt
星之巨鉗蟹,金屬系,35,32,33,10,15,,125,風4地6,攻擊、防禦,,,mlbb_news_14164.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_14174.txt
影男,人形系,30,36,24,25,10,,125,地5水5,攻擊、防禦,,,mlbb_news_14184.txt
墮天使撒旦,飛行系,40,43,12,24,6,,125,地5水5,攻擊、防禦,,,mlbb_news_14184.txt
豆豆,人形系,30,50,14,25,6,,125,地10,攻擊、防禦,,,mlbb_news_14184.txt
紅靴精靈,特殊系,12,17,13,36,42,,120,火7風3,攻擊、防禦,,,mlbb_news_14224.txt
幼年岩帝龍骨,不死系,24,6,23,37,33,,123,風2地8,攻擊、防禦,,,mlbb_news_14254.txt
岩帝龍骨,不死系,24,6,23,37,33,,123,風2地8,攻擊、防禦,,,mlbb_news_14254.txt
火達雞,野獸系,25,10,19,29,42,,125,水3火7,攻擊、防禦,,,mlbb_news_14254.txt
山隱仙靈,特殊系,21,10,13,37,44,,125,地10,攻擊、防禦,,,mlbb_news_14254.txt
潮汐仙靈,特殊系,21,10,37,13,44,,125,水10,攻擊、防禦,,,mlbb_news_14254.txt
焚炎仙靈,特殊系,37,10,13,21,44,,125,火10,攻擊、防禦,,,mlbb_news_14254.txt
風暴仙靈,特殊系,44,37,13,21,10,,125,風10,攻擊、防禦,,,mlbb_news_14254.txt
星輝仙靈,特殊系,50,6,15,6,48,,125,水5火5,攻擊、防禦,,,mlbb_news_14254.txt
逐月仙靈,特殊系,46,6,11,13,49,,125,水10,攻擊、防禦,,,mlbb_news_14254.txt
焦糖丸子炸彈,特殊系,12,21,13,32,47,,125,風8地2,攻擊、防禦,,,mlbb_news_14254.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_14274.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_14274.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_14304.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_14304.txt
桂紅鴨,飛行系,37,6,16,19,47,,125,火10,攻擊、防禦,,,mlbb_news_14344.txt
冰魄龍骨,不死系,34,45,8,30,8,,125,水10,攻擊、防禦,,,mlbb_news_14344.txt
紅凱,野獸系,27,44,13,35,6,,125,火10,攻擊、防禦,,,mlbb_news_14344.txt
火火兔,飛行系,33,47,15,24,6,,125,火10,攻擊、防禦,,,mlbb_news_14344.txt
聖誕節火雞,飛行系,24,15,18,25,43,,125,水1火9,攻擊、防禦,,,mlbb_news_14344.txt
聖誕節鴕雞,飛行系,17,39,19,37,13,,125,水2火8,攻擊、防禦,,,mlbb_news_14344.txt
番茄咩,植物系,31,44,20,24,6,,125,水4火6,攻擊、防禦,,,mlbb_news_14364.txt
潘妮,人形系,45,6,11,17,46,,125,風10,攻擊、防禦,,,mlbb_news_14364.txt
冰雪獵魔人,人形系,34,45,8,30,8,,125,水10,攻擊、防禦,,,mlbb_news_14434.txt
冰雪魔人,人形系,34,6,17,22,46,,125,地10,攻擊、防禦,,,mlbb_news_14434.txt
劇毒花妖王,植物系,35,6,19,21,44,,125,水4火6,攻擊、防禦,,,mlbb_news_14434.txt
死亡樹魔,植物系,30,49,16,24,6,,125,地6水4,攻擊、防禦,,,mlbb_news_14434.txt
聖誕北極熊,野獸系,39,41,15,22,8,,125,水10,攻擊、防禦,,,mlbb_news_14434.txt
新生賽格梅特,人形系,24,24,24,24,24,,120,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
戰斧賽格梅特,人形系,36,45,16,18,10,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
弓箭手賽格梅特,人形系,18,45,16,36,10,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
格鬥家賽格梅特,人形系,34,36,16,29,10,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
劍士賽格梅特,人形系,36,43,16,20,10,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
咒師賽格梅特,人形系,18,10,16,39,42,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
騎士賽格梅特,人形系,44,40,15,16,10,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
聖斧賽格梅特,人形系,30,50,11,28,6,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
聖弓賽格梅特,人形系,18,50,11,40,6,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
聖鬥賽格梅特,人形系,18,40,11,50,6,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
聖劍賽格梅特,人形系,32,46,11,30,6,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
聖咒賽格梅特,人形系,17,6,11,49,42,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
聖騎賽格梅特,人形系,49,42,17,11,6,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
女皇賽格梅特,人形系,40,5,5,25,50,,125,火5風5,攻擊、防禦,,,mlbb_news_14474.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_14484.txt
泰坦赫里斯,人形系,30,48,15,26,6,,125,火5風5,攻擊、防禦,,,mlbb_news_14494.txt
魔女蕾亞,不死系,34,43,20,22,6,,125,地5水5,攻擊、防禦,,,mlbb_news_14494.txt
紺青之棺,不死系,30,41,23,21,10,,125,地10,攻擊、防禦,,,mlbb_news_14494.txt
白銀巨像,金屬系,38,39,26,12,10,,125,火10,攻擊、防禦,,,mlbb_news_14494.txt
寶瓶妖靈,金屬系,35,6,19,21,44,,125,風3地7,攻擊、防禦,,,mlbb_news_14494.txt
巨捧金剛,金屬系,45,40,10,20,10,,125,水10,攻擊、防禦,,,mlbb_news_14544.txt
刀師賽格梅特,人形系,26,40,15,34,10,,125,風10,攻擊、防禦,,,mlbb_news_14544.txt
藍海蛇姬,人形系,30,10,15,26,44,,125,水8火2,攻擊、防禦,,,mlbb_news_14624.txt
赤鏈蛇姬,人形系,24,41,17,33,10,,125,火8風2,攻擊、防禦,,,mlbb_news_14624.txt
雨傘節,野獸系,24,48,15,23,13,,123,地8水2,攻擊、防禦,,,mlbb_news_14624.txt
月見紗,植物系,27,40,4,50,4,,125,水5火5,攻擊、防禦,,,mlbb_news_14624.txt
素白蛇姬,人形系,30,6,15,26,48,,125,水10,攻擊、防禦,,,mlbb_news_14624.txt
青靈蛇姬,人形系,30,10,18,20,47,,125,地8水2,攻擊、防禦,,,mlbb_news_14624.txt
小神龍,龍系,47,40,12,20,6,,125,風5地5,攻擊、防禦,,,mlbb_news_14624.txt
衝浪小神龍,龍系,21,45,6,47,6,,125,火5風5,攻擊、防禦,,,mlbb_news_14624.txt
衝浪小魔龍,龍系,40,6,6,26,47,,125,地5水5,攻擊、防禦,,,mlbb_news_14624.txt
千兩招財貓,金屬系,30,16,12,25,40,,123,火5風5,攻擊、防禦,,,mlbb_news_14624.txt
萬兩招財貓,金屬系,23,12,20,24,46,,125,火5風5,攻擊、防禦,,,mlbb_news_14624.txt
十萬兩招財貓,金屬系,32,36,25,24,8,,125,火5風5,攻擊、防禦,,,mlbb_news_14624.txt
億萬兩招財貓,金屬系,38,6,10,21,50,,125,火5風5,攻擊、防禦,,,mlbb_news_14624.txt
喜慶虎寶寶,野獸系,18,10,19,35,41,,123,地8水2,攻擊、防禦,,,mlbb_news_14624.txt
歡樂虎寶寶,野獸系,24,10,35,12,42,,123,水8火2,攻擊、防禦,,,mlbb_news_14624.txt
招財虎寶寶,野獸系,13,10,27,32,41,,123,火8風2,攻擊、防禦,,,mlbb_news_14624.txt
幸福虎寶寶,野獸系,11,41,11,19,41,,123,風8地2,攻擊、防禦,,,mlbb_news_14624.txt
行大運白虎王,特殊系,38,6,15,19,47,,125,火5風5,攻擊、防禦,,,mlbb_news_14624.txt
贏珍寶黑虎王,特殊系,18,42,15,44,6,,125,地1水9,攻擊、防禦,,,mlbb_news_14624.txt
聖刀賽格梅特,人形系,40,49,11,19,6,,125,火5風5,攻擊、防禦,,,mlbb_news_14624.txt
醒獅年獸,野獸系,26,40,15,24,15,,120,火7風3,攻擊、防禦,,,mlbb_news_14624.txt
金鱗蛇姬,人形系,32,44,20,19,10,,125,風8地2,攻擊、防禦,,,mlbb_news_14624.txt
弓射手桐香,人形系,25,40,18,31,11,,125,風10,攻擊、防禦,,,mlbb_news_14664.txt
八岐大蛇,不死系,36,44,11,28,6,,125,風10,攻擊、防禦,,,mlbb_news_14664.txt
梅宗,人形系,18,6,12,49,40,,125,地5水5,攻擊、防禦,,,mlbb_news_14664.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_14674.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_14674.txt
情人節鼠王,野獸系,37,40,11,31,6,,125,風10,攻擊、防禦,,,mlbb_news_14704.txt
吉利豬,野獸系,25,6,22,26,46,,125,火10,攻擊、防禦,,,mlbb_news_14704.txt
愛情康乃馨,植物系,28,10,19,26,42,,125,火8風2,攻擊、防禦,,,mlbb_news_14704.txt
元宵巨神兵,人形系,39,42,13,25,6,,125,火10,攻擊、防禦,,,mlbb_news_14704.txt
元宵精靈,特殊系,23,6,11,38,47,,125,水8火2,攻擊、防禦,,,mlbb_news_14704.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_14744.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_14744.txt
戰錘軍長,飛行系,40,40,11,28,6,,125,地10,攻擊、防禦,,,mlbb_news_14794.txt
流星菇,植物系,24,7,13,32,49,,125,火4風6,攻擊、防禦,,,mlbb_news_14794.txt
裂空哥布林,人形系,35,43,15,24,8,,125,風7地3,攻擊、防禦,,,mlbb_news_14794.txt
魔豬,野獸系,22,43,17,25,13,,120,風4地6,攻擊、防禦,,,mlbb_news_14824.txt
豬剛鬣,不死系,42,36,16,21,10,,125,地10,攻擊、防禦,,,mlbb_news_14824.txt
豬八戒,不死系,34,46,14,21,10,,125,地5火5,攻擊、防禦,,,mlbb_news_14824.txt
千夜,植物系,42,6,6,29,42,,125,水10,攻擊、防禦,,,mlbb_news_14854.txt
沙暴仙人掌,植物系,33,42,15,27,8,,125,風2地8,攻擊、防禦,,,mlbb_news_14854.txt
紅唇蝌魚,金屬系,35,13,15,24,36,,125,火7風3,攻擊、防禦,,,mlbb_news_14854.txt
梅藏,人形系,42,46,11,20,6,,125,水10,攻擊、防禦,,,mlbb_news_14934.txt
赤焰獨角獸,野獸系,33,7,22,20,43,,125,水1火9,攻擊、防禦,,,mlbb_news_14934.txt
紫泉蛙,野獸系,37,33,23,19,13,,125,地2水8,攻擊、防禦,,,mlbb_news_14934.txt
霸天魔鷹,飛行系,36,40,9,34,6,,125,地5水5,攻擊、防禦,,,mlbb_news_14934.txt
黃金翼龍,龍系,32,43,17,25,8,,125,風10,攻擊、防禦,,,mlbb_news_14934.txt
貝貝菈,人形系,24,14,16,29,40,,123,水7火3,攻擊、防禦,,,mlbb_news_14934.txt
巴洛妮克,不死系,29,6,17,24,49,,125,火10,攻擊、防禦,,,mlbb_news_14974.txt
雷暴殺人蜂,昆蟲系,36,43,10,30,6,,125,地10,攻擊、防禦,,,mlbb_news_14974.txt
嗜血骷髏,不死系,35,8,16,18,48,,125,火8風2,攻擊、防禦,,,mlbb_news_14974.txt
死亡樹魔,植物系,30,49,16,24,6,,125,地6水4,攻擊、防禦,,,mlbb_news_14974.txt
美洲仙人掌,植物系,26,15,24,16,44,,125,水7火3,攻擊、防禦,,,mlbb_news_14974.txt
別西卜,飛行系,29,45,21,24,6,,125,地7水3,攻擊、防禦,,,mlbb_news_14974.txt
雷鳴穴龍,龍系,46,40,15,18,6,,125,風10,攻擊、防禦,,,mlbb_news_14974.txt
櫻花龍,龍系,24,39,21,19,17,,120,火10,攻擊、防禦,,,mlbb_news_15044.txt
緋紅巨龍,龍系,33,46,14,26,6,,125,地2火8,攻擊、防禦,,,mlbb_news_15044.txt
古美絲,人形系,25,6,21,27,46,,125,風10,攻擊、防禦,,,mlbb_news_15044.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_15054.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_15054.txt
阿德基姆,人形系,39,41,15,24,6,,125,火10,攻擊、防禦,,,mlbb_news_15114.txt
地底龍龜,野獸系,31,48,25,13,8,,125,地10,攻擊、防禦,,,mlbb_news_15114.txt
黑樺斑蝶,昆蟲系,21,10,17,33,44,,125,火4風6,攻擊、防禦,,,mlbb_news_15114.txt
威爾士紅龍,龍系,30,45,10,30,10,,125,地5水5,攻擊、防禦,,,mlbb_news_15114.txt
小白鼠,野獸系,23,37,18,29,13,,120,地2水8,攻擊、防禦,,,mlbb_news_15224.txt
小紅鼠,野獸系,23,13,18,29,37,,120,火8風2,攻擊、防禦,,,mlbb_news_15224.txt
雪地倉鼠,野獸系,23,42,18,29,13,,125,地2水8,攻擊、防禦,,,mlbb_news_15224.txt
火焰倉鼠,野獸系,23,13,18,29,42,,125,火8風2,攻擊、防禦,,,mlbb_news_15224.txt
胖寶倉鼠,野獸系,29,13,18,23,42,,125,火8風2,攻擊、防禦,,,mlbb_news_15224.txt
飛櫻螳螂,昆蟲系,35,46,16,20,8,,125,風2地8,攻擊、防禦,,,mlbb_news_15224.txt
玄黎,植物系,28,39,4,50,4,,125,風5地5,攻擊、防禦,,,mlbb_news_15224.txt
暴狨獸,野獸系,34,42,21,18,10,,125,風1地9,攻擊、防禦,,,mlbb_news_15224.txt
大地毒蛛,昆蟲系,33,8,25,17,42,,125,地10,攻擊、防禦,,,mlbb_news_15224.txt
白銀巨龍,龍系,22,37,23,22,16,,120,水10,攻擊、防禦,,,mlbb_news_15234.txt
裁決白龍王,龍系,32,46,13,28,6,,125,水5火5,攻擊、防禦,,,mlbb_news_15234.txt
神聖白龍王,龍系,32,6,13,28,46,,125,水5火5,攻擊、防禦,,,mlbb_news_15234.txt
鈦白嚇人箱,金屬系,25,25,25,25,25,,125,水5火5,攻擊、防禦,,,mlbb_news_15254.txt
改造鈦白嚇人箱,金屬系,25,4,4,45,47,,125,水5火5,攻擊、防禦,,,mlbb_news_15254.txt
白雪,金屬系,25,42,4,50,4,,125,風10,攻擊、防禦,,,mlbb_news_15254.txt
小丑豬寶,野獸系,35,50,6,28,6,,125,火10,攻擊、防禦,,,mlbb_news_15254.txt
魔術豬寶,野獸系,21,6,6,50,42,,125,火5風5,攻擊、防禦,,,mlbb_news_15254.txt
冰獄骷髏,不死系,36,41,12,30,6,,125,水10,攻擊、防禦,,,mlbb_news_15254.txt
桃紅巫寶,人形系,33,8,25,17,42,,125,火7風3,攻擊、防禦,,,mlbb_news_15254.txt
地之使徒,特殊系,50,50,4,17,4,,125,地10,攻擊、防禦,,,mlbb_news_15274.txt
札拉庫,特殊系,36,42,21,16,10,,125,火1風9,攻擊、防禦,,,mlbb_news_15274.txt
牛仔靴怪,特殊系,27,14,14,26,42,,123,火7風3,攻擊、防禦,,,mlbb_news_15274.txt
烏拉諾斯,植物系,30,45,10,30,10,,125,地7水3,攻擊、防禦,,,mlbb_news_15304.txt
歌姬女皇,飛行系,35,6,8,27,49,,125,地5水5,攻擊、防禦,,,mlbb_news_15324.txt
日輪火使,飛行系,29,41,19,26,10,,125,火10,攻擊、防禦,,,mlbb_news_15324.txt
鳶尾花妖,植物系,24,14,13,29,43,,123,地7水3,攻擊、防禦,,,mlbb_news_15324.txt
水晶豬王,金屬系,23,35,31,15,16,,120,地3水7,攻擊、防禦,,,mlbb_news_15324.txt
皇鑽豬王,金屬系,23,38,31,15,16,,123,地2水8,攻擊、防禦,,,mlbb_news_15324.txt
星鑽豬王,金屬系,28,45,24,22,6,,125,水10,攻擊、防禦,,,mlbb_news_15324.txt
焰獄妖犬,不死系,18,42,12,45,8,,125,風6地4,攻擊、防禦,,,mlbb_news_15324.txt
死亡木乃伊,不死系,39,44,16,20,6,,125,火10,攻擊、防禦,,,mlbb_news_15324.txt
藍色香煙鬼,植物系,43,40,15,21,6,,125,水7火3,攻擊、防禦,,,mlbb_news_15324.txt
坤斧妖精,飛行系,29,45,20,21,8,,123,地2水8,攻擊、防禦,,,mlbb_news_15324.txt
哈士奇,野獸系,33,12,12,25,43,,125,地2水8,攻擊、防禦,,,mlbb_news_15324.txt
秋田犬,野獸系,25,33,12,43,12,,125,水2火8,攻擊、防禦,,,mlbb_news_15324.txt
比格犬,野獸系,25,12,12,33,43,,125,風2地8,攻擊、防禦,,,mlbb_news_15324.txt
地寶石精靈,飛行系,17,42,12,12,42,,125,地10,攻擊、防禦,,,mlbb_news_15324.txt
水寶石精靈,飛行系,42,12,12,17,42,,125,水10,攻擊、防禦,,,mlbb_news_15324.txt
火寶石精靈,飛行系,17,12,42,12,42,,125,火10,攻擊、防禦,,,mlbb_news_15324.txt
風寶石精靈,飛行系,17,12,12,42,42,,125,風10,攻擊、防禦,,,mlbb_news_15324.txt
紅甲蠍,昆蟲系,34,43,22,20,6,,125,火9風1,攻擊、防禦,,,mlbb_news_15344.txt
碧水龍舟,植物系,33,8,15,24,45,,125,水10,攻擊、防禦,,,mlbb_news_15344.txt
糯米粽子,植物系,23,11,16,35,40,,125,風5地5,攻擊、防禦,,,mlbb_news_15344.txt
反轉袋龍,龍系,27,8,14,30,46,,125,風5地5,攻擊、防禦,,,mlbb_news_15344.txt
粉紅炸彈,特殊系,18,11,16,30,48,,123,水5火5,攻擊、防禦,,,mlbb_news_15344.txt
黃金加百列,飛行系,33,12,12,25,43,,125,風7地3,攻擊、防禦,,,mlbb_news_15384.txt
流星,人形系,33,47,10,25,10,,125,地5水5,攻擊、防禦,,,mlbb_news_15384.txt
星雲,人形系,33,10,10,25,47,,125,地10,攻擊、防禦,,,mlbb_news_15384.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_15394.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_15394.txt
寒武小丑魚,飛行系,29,6,15,27,48,,125,水10,攻擊、防禦,,,mlbb_news_15414.txt
