日期,類別,重點標記,開放內容說明,公告,首次公開寵物,公告連結
2021-08-18,地圖／任務,地圖預告,預告開放亞諾曼王國；公告另列暫不開放的地圖與任務,亞諾曼王國即將開放,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5453.html)
2021-08-18,地圖／任務,新地圖,開放地圖與任務：亞諾曼王國,8月19日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5463.html)
2021-08-12,地圖／任務,,,七夕活動限時任務,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5403.html)
2021-08-06,活動／營運,,,期待！亞諾曼相關系列將於本月內登場,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5383.html)
2021-08-05,活動／營運,,,精彩緊湊的頭目連戰已經登場,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5373.html)
2021-08-05,節慶／活動,,,《魔力寶貝》20週年慶典最終彈！,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5353.html)
2021-07-29,節慶／活動,,,《魔力寶貝》20週年慶典第二彈！,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5313.html)
2021-07-23,節慶／活動,,,《魔力寶貝》20週年慶典勁爆來襲！,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5293.html)
2021-07-17,節慶／活動,,,《魔力寶貝》20週年慶典活動預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5273.html)
2021-07-08,活動／營運,,,全新變異魔物 雷霆與劇毒的主宰登場,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_5233.html)
2021-06-24,活動／營運,,,勇者秘寶 正式開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_5183.html)
2021-06-13,節慶／活動,,,賀端午祭龍祖活動公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_5133.html)
2021-06-09,節慶／活動,,,【魔力寶貝 20週年】預熱活動 第二彈,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5093.html)
2021-06-04,節慶／活動,,,【《魔力寶貝》 20週年預熱活動第一彈】獎勵領取公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_5083.html)
2021-05-17,地圖／任務,,,1.5版本海底世界版本將於第三季度登場,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_4883.html)
2021-05-13,活動／營運,,,【商城開啟】,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_4833.html)
2021-05-12,活動／營運,,,預約獎勵領取開放公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_4823.html)
2021-04-16,活動／營運,,,封測開啟公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_4723.html)
2021-04-02,活動／營運,停服清檔,官方宣布遊戲全面清檔，開機時間另行公布；伺服器進入全面調整維護,伺服器問題導致停服調整與全面清檔,,[清檔公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_4573.html)、[維護公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_4563.html)
2021-04-01,活動／營運,正式開服,4月1日上午10點正式公測；玩家大量湧入後，官方緊急加開「永恆獅子」伺服器,《魔力寶貝：永恆初心》正式公測開服,,[公測公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_4503.html)、[加開公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_4533.html)
2021-03-30,活動／營運,,,《魔力寶貝:永恆初心》公佈4月1日10:00 AM正式公測！同步開放主程式下載,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_notice_4503.html)
